site_name,wbid,ir_wbid,latitude,longitude,sample_id,collection_date,year,huc_8,riverbasin,cycle,pcid,comid,basin,mod_ecoregion,oldecoregion,watershed_area,fwp,totalindividuals,total_species,sensitive_benthic_species,sunfish_species,intolerant_species,proportion_tolerant,proportion_insectivorous,proportion_lithophilic,percentdelt,total_species_score,sensitive_benthic_score,sunfish_species_score,intolerant_species_score,tolerant_score,insectivorous_score,lithophilic_score,total_score,comparison_to_reference,integrity_class,lettergrade,task,collection_date_str,score_validated
Cow Creek: Hwy 51,OK620900-04-0200B,OK620900040200_00,36.11605,-97.09904,62330,2019-08-07,2019,11050003,Cimarron R.,4,OK620900-04-0200B_4,492086,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,32.8203,WWAC,372,12,1,7,1,0.728494624,0.008064516,0.083333333,0,3,1,5,3,1,1,1,15,0.659340659,Fair,,Blue Thumb,2019-08-07,True
Cow Creek: Hwy 51,OK620900-04-0200B,OK620900040200_00,36.11605,-97.09904,62331,2019-08-07,2019,11050003,Cimarron R.,4,OK620900-04-0200B_4,492086,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,32.8203,WWAC,314,10,1,7,1,0.780254777,0.006369427,0.085987261,0,3,1,5,3,1,1,1,15,0.659340659,Fair,,Blue Thumb,2019-08-07,True
Crow Creek: Zink Park,OK120420-01-0090G,OK120420010090_00,36.11805556,-95.97,38174,2007-08-21,2007,11110101,Arkansas R.,2,OK120420-01-0090G_2,367959,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,7.2657,WWAC,31,3,1,1,0,0.903225806,0.0,0.096774194,0,1,1,1,1,1,1,1,7,0.307692308,Very Poor,,Blue Thumb,2007-08-21,True
Crow Creek: Zink Park,OK120420-01-0090G,OK120420010090_00,36.11805556,-95.97,49690,2012-06-13,2012,11110101,Arkansas R.,3,OK120420-01-0090G_3,367959,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,7.2657,WWAC,89,5,1,1,0,0.651685393,0.0,0.348314607,0,1,1,1,1,1,1,3,9,0.395604396,Very Poor,,Blue Thumb,2012-06-13,True
Crow Creek: Zink Park,OK120420-01-0090G,OK120420010090_00,36.11806,-95.97,56716,2016-07-11,2016,11110101,Arkansas R.,4,OK120420-01-0090G_4,367959,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,7.2657,WWAC,205,3,1,1,0,0.995121951,0.0,0.004878049,0,1,1,1,1,1,1,1,7,0.307692308,Very Poor,,Blue Thumb,2016-07-11,True
Crutcho Creek: I-40,OK520520-00-0070X,OK520520000070_00,35.45151,-97.43491,41756,2008-07-24,2008,11100302,Canadian R.,2,OK520520-00-0070X_2,415461,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,57.3102,WWAC,538,12,1,5,1,0.864312268,0.135687732,0.0,0,3,1,5,3,1,1,1,15,0.659340659,Fair,,Blue Thumb,2008-07-24,True
Crutcho Creek: I-40,OK520520-00-0070X,OK520520000070_00,35.45151,-97.43491,53915,2014-08-27,2014,11100302,Canadian R.,3,OK520520-00-0070X_3,415461,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,57.3102,WWAC,238,11,0,5,0,0.978991597,0.008403361,0.012605042,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2014-08-27,True
Crutcho Creek: I-40,OK520520-00-0070X,OK520520000070_00,35.45151,-97.43491,60213,2018-07-23,2018,11100302,Canadian R.,4,OK520520-00-0070X_4,415461,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,57.3102,WWAC,423,13,0,7,0,0.924349882,0.004728132,0.070921986,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2018-07-23,True
Deep Fork River: Britton Road,OK520710-02-0060R,OK520710020060_00,35.56572,-97.44539,41755,2008-07-23,2008,11100303,Canadian R.,2,OK520710-02-0060R_2,533595,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,121.8627,WWAC,600,11,0,5,0,0.838333333,0.161666667,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2008-07-23,True
Deep Fork River: Britton Road,OK520710-02-0060R,OK520710020060_00,35.56572,-97.44539,49696,2012-06-25,2012,11100303,Canadian R.,3,OK520710-02-0060R_3,533595,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,121.8627,WWAC,968,13,0,6,0,0.784090909,0.201446281,0.009297521,0,3,1,5,1,1,3,1,15,0.659340659,Fair,,Blue Thumb,2012-06-25,True
Deep Fork River: E 0930 Road,OK520700-04-0010G,OK520700040010_00,35.66655,-96.6800333,33759,2005-08-12,2005,11100303,Canadian R.,1,OK520700-04-0010G_1,537499,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,2181.357,WWAC,2368,12,1,4,1,0.986486486,0.013513514,0.0,0,3,1,3,3,1,1,1,13,0.571428571,Poor,,Blue Thumb,2005-08-12,True
Deep Fork River: Hwy 56 Bridge,OK520700-02-0010R,OK520700020010_10,35.6132222,-96.0238055,36248,2006-08-11,2006,11100303,Canadian R.,2,OK520700-02-0010R_2,537563,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,5309.6346,WWAC,345,18,3,5,3,0.915942029,0.043478261,0.023188406,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2006-08-11,True
Deep Fork River: Hwy 56 Bridge,OK520700-02-0010R,OK520700020010_10,35.6132222,-96.0238055,48468,2011-06-23,2011,11100303,Canadian R.,3,OK520700-02-0010R_3,537563,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,5309.6346,WWAC,358,13,3,5,3,0.972067039,0.005586592,0.019553073,0,3,5,5,5,1,1,1,21,0.923076923,Excellent,,Blue Thumb,2011-06-23,True
Deep Fork River: River Bend,OK520700-01-0120F,OK520700010120_00,35.5798333,-95.9845555,31146,2004-09-20,2004,11100303,Canadian R.,1,OK520700-01-0120F_1,534173,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,5604.28,WWAC,1423,20,3,3,3,0.945888967,0.028812368,0.016865777,0,5,5,3,5,1,1,1,21,0.923076923,Excellent,,Blue Thumb,2004-09-20,True
Deep Fork River: Rocky Shoals,OK520700-01-0120C,OK520700010120_00,35.5781944,-95.9943888,35750,2006-07-08,2006,11100303,Canadian R.,2,OK520700-01-0120C_2,533895,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,2.4471,WWAC,671,15,4,2,3,0.935916542,0.022354694,0.02533532,0,5,5,1,5,1,1,1,19,0.835164835,Good,,Blue Thumb,2006-07-08,True
Deep Fork River: Wilshire (Site # 110),OK520710-02-0075M,OK520710020075_00,35.55114167,-97.459,25852,2002-09-05,2002,11100303,Canadian R.,1,OK520710-02-0075M_1,533131,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,13.7385,WWAC,520,10,0,4,0,0.613461538,0.386538462,0.0,0,3,1,3,1,1,3,1,13,0.571428571,Poor,,Blue Thumb,2002-09-05,True
Deer Creek: Hwy 4,OK620910-04-0120T,OK620910040120_10,35.61830556,-97.745,36251,2006-08-23,2006,11050002,Cimarron R.,2,OK620910-04-0120T_2,255194,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,36.2475,WWAC,396,11,1,5,0,0.545454545,0.126262626,0.328282828,0,5,3,5,1,1,1,3,19,0.848972297,Good,,Blue Thumb,2006-08-23,True
Deer Creek: Meridian Avenue,OK620910-04-0120G,OK620910040120_10,35.66936111,-97.60275,44245,2009-08-17,2009,11050002,Cimarron R.,2,OK620910-04-0120G_2,254534,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,202.5864,WWAC,388,20,3,7,1,0.953608247,0.283505155,0.025773196,0,5,5,5,5,1,3,1,25,1.117068811,Excellent,,Blue Thumb,2009-08-17,True
Deer Creek: Meridian Avenue,OK620910-04-0120G,OK620910040120_10,35.66936,-97.60275,53907,2014-08-20,2014,11050002,Cimarron R.,3,OK620910-04-0120G_3,254534,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,202.5864,WWAC,957,19,3,5,1,0.886102403,0.262277952,0.011494253,0,5,5,5,5,1,3,1,25,1.117068811,Excellent,,Blue Thumb,2014-08-20,True
Deer Creek: Coffee Creek Rd.,OK620910-04-0120F,OK620910040120_00,35.696595,-97.57895,62327,2019-07-27,2019,11050002,Cimarron R.,4,OK620910-04-0120F_4,254462,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,34972.62,WWAC,382,15,1,5,0,0.887434555,0.0,0.0,0,5,3,5,1,1,1,1,17,0.759606792,Fair,,Blue Thumb,2019-07-27,True
Delaware Creek: Camp Simpson Witch Hole,OK410400-03-0240W,OK410400030240_00,34.40928,-96.540661,48327,2010-07-23,2010,11140104,Lower Red R.,2,OK410400-03-0240W_2,6068668,L Red,Arbuckle Uplift,Central Oklahoma/Texas Plains,46.1448,WWAC,1073,13,2,5,2,0.947809879,0.001863933,0.039142591,0,5,3,5,5,1,1,1,21,0.84,Good,,Blue Thumb,2010-07-23,True
Delaware Creek: Hwy 97 Bridge,OK121300-01-0150M,OK121300010150_00,36.2555,-96.1216,23156,2001-06-12,2001,11070107,Arkansas R.,1,OK121300-01-0150M_1,849151,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,28.8954,WWAC,287,13,3,6,1,0.808362369,0.055749129,0.048780488,0,3,5,5,3,1,1,1,19,0.835164835,Good,,Blue Thumb,2001-06-12,True
Delaware Creek: Hwy 97 Bridge,OK121300-01-0150M,OK121300010150_00,36.2555,-96.1216,35152,2010-06-22,2006,11070107,Arkansas R.,2,OK121300-01-0150M_2,849151,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,28.8954,WWAC,613,21,5,9,1,0.818923328,0.006525285,0.138662316,0,5,5,5,3,1,1,1,21,0.923076923,Excellent,,Blue Thumb,2010-06-22,True
Delaware Creek: Hwy 97 Bridge,OK121300-01-0150M,OK121300010150_00,36.2555,-96.1216,48222,2010-06-22,2010,11070107,Arkansas R.,2,OK121300-01-0150M_2,849151,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,28.8954,WWAC,1378,22,6,8,2,0.712626996,0.077648766,0.150943396,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2010-06-22,True
Doe Creek: Yearling,OK621200-05-0170F,OK621200050170_00,36.50706,-97.32506,48462,2011-06-02,2011,11060006,Arkansas R.,3,OK621200-05-0170F_3,20968730,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,16.8309,WWAC,177,11,0,7,0,1.0,0.0,0.0,0,5,1,5,1,1,1,1,15,0.670241287,Fair,,Blue Thumb,2011-06-02,True
Double Spring Creek: W 730 Road,OK121600-01-0090D,OK121600010090_00,35.959664,-95.076129,48342,2010-08-10,2010,11070209,Arkansas R.,2,OK121600-01-0090D_2,21773563,Neosho-Grand,Ozark Highlands,Ozark Highlands,47.0331,WWAC,1336,17,7,4,10,0.049401198,0.538173653,0.950598802,0,5,5,5,5,5,5,5,35,1.082585834,Excellent,,Blue Thumb,2010-08-10,True
Duck Creek: Myers Park,OK620900-04-0195G,OK620900040195_00,36.11162,-97.08418,44189,2009-06-17,2009,11050003,Cimarron R.,2,OK620900-04-0195G_2,492106,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,3.6468,WWAC,405,7,0,3,0,1.0,0.0,0.0,0,3,1,3,1,1,1,1,11,0.483516484,Poor,,Blue Thumb,2009-06-17,True
East Cache Creek: Big Green,OK311300-02-0010H,OK311300020010_05,34.586917,-98.370667,44214,2009-07-15,2009,11130202,Upper Red R.,2,OK311300-02-0010H_2,673442,Washita-Red,Central Great Plains,Central Great Plains,1237.484,WWAC,1503,24,5,4,3,0.621423819,0.246174318,0.051230872,0,5,5,5,5,1,3,1,25,1.117068811,Excellent,,Blue Thumb,2009-07-15,True
East Cache Creek: Big Green,OK311300-02-0010H,OK311300020010_05,34.586917,-98.370667,51645,2013-06-26,2013,11130202,Upper Red R.,3,OK311300-02-0010H_3,673442,Washita-Red,Central Great Plains,Central Great Plains,1237.484,WWAC,1365,26,7,7,3,0.625641026,0.273992674,0.084981685,0,5,5,5,5,1,3,1,25,1.117068811,Excellent,,Blue Thumb,2013-06-26,True
East Cache Creek: Big Green,OK311300-02-0010H,OK311300020010_05,34.58692,-98.37067,62332,2019-08-14,2019,11130202,Upper Red R.,4,OK311300-02-0010H_4,673442,Washita-Red,Central Great Plains,Central Great Plains,1237.484,WWAC,2217,28,7,6,3,0.723500226,0.090663058,0.168696437,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2019-08-14,True
East Cache Creek: Rogers Lane,OK311300-02-0010J,OK311300020010_05,34.63778,-98.3618,51646,2013-06-27,2013,11130202,Upper Red R.,3,OK311300-02-0010J_3,673384,Washita-Red,Central Great Plains,Central Great Plains,1177.772,WWAC,2598,22,5,6,3,0.451501155,0.423787529,0.104311008,0,5,5,5,5,1,3,1,25,1.117068811,Excellent,,Blue Thumb,2013-06-27,True
East Cache Creek: Rogers Lane,OK311300-02-0010J,OK311300020010_05,34.63778,-98.3618,62333,2019-08-15,2019,11130202,Upper Red R.,4,OK311300-02-0010J_4,673384,Washita-Red,Central Great Plains,Central Great Plains,1177.772,WWAC,1567,23,7,6,3,0.618379068,0.171027441,0.141033823,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2019-08-15,True
Elm Creek Wetlands: East Creek,OK121300-01-0120T,OK121300010220_00,36.28,-95.821,23157,2001-06-20,2001,11070107,Arkansas R.,1,OK121300-01-0120T_1,847296,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,30.1005,WWAC,154,10,0,7,0,0.987012987,0.0,0.0,0,3,1,5,1,1,1,1,13,0.555555556,Poor,,Blue Thumb,2001-06-20,True
Elm Creek: Indian Hills Road,OK520810-00-0100C,OK520810000100_00,35.2907,-97.34877,55658,2015-06-02,2015,11090203,Canadian R.,3,OK520810-00-0100C_3,481886,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,84.7575,WWAC,920,18,1,7,0,0.761956522,0.070652174,0.122826087,0,5,1,5,1,1,1,1,15,0.659340659,Fair,,Blue Thumb,2015-06-02,True
Elm Creek: Indian Hills Road,OK520810-00-0100C,OK520810000100_00,35.2907,-97.34877,63592,2020-06-17,2020,11090203,Canadian R.,4,OK520810-00-0100C_4,481886,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,84.7575,WWAC,694,21,2,8,1,0.938040346,0.004322767,0.001440922,0,5,3,5,3,1,1,1,19,0.835164835,Good,,Blue Thumb,2020-06-17,True
Ewers Creek: D0418 Road,OK620920-01-0190K,OK620920010190_00,36.40177778,-99.00077778,31149,2004-09-30,2004,11050001,Cimarron R.,1,OK620920-01-0190K_1,21047462,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,77.1066,WWAC,335,15,2,5,1,0.617910448,0.36119403,0.020895522,0,5,5,5,5,1,3,1,25,1.117068811,Excellent,,Blue Thumb,2004-09-30,True
Ewers Creek: D0418 Road,OK620920-01-0190K,OK620920010190_00,36.40177778,-99.00077778,49705,2012-07-09,2012,11050001,Cimarron R.,3,OK620920-01-0190K_3,21047462,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,77.1066,WWAC,1010,10,1,5,1,0.802970297,0.197029703,0.0,0,5,3,5,5,1,1,1,21,0.938337802,Excellent,,Blue Thumb,2012-07-09,True
Feather Creek: Old Hwy 51,OK620900-02-0060C,OK620900020060_00,36.1308888,-96.8801944,33763,2005-08-25,2005,11050003,Cimarron R.,1,OK620900-02-0060C_1,493466,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,18.7596,WWAC,416,12,2,5,1,0.774038462,0.03125,0.175480769,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2005-08-25,True
Feather Creek: Old Hwy 51,OK620900-02-0060C,OK620900020060_00,36.1308888,-96.8801944,44201,2009-07-02,2009,11050003,Cimarron R.,2,OK620900-02-0060C_2,493466,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,18.7596,WWAC,392,12,0,7,0,0.900510204,0.0,0.0,0,5,1,5,1,1,1,1,15,0.670241287,Fair,,Blue Thumb,2009-07-02,True
Feather Creek: Old Hwy 51,OK620900-02-0060C,OK620900020060_00,36.1308888,-96.8801944,53896,2014-07-21,2014,11050003,Cimarron R.,3,OK620900-02-0060C_3,493466,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,18.7596,WWAC,188,5,0,4,0,0.973404255,0.0,0.0,0,3,1,5,1,1,1,1,13,0.580875782,Poor,,Blue Thumb,2014-07-21,True
Feather Creek: Old Hwy 51,OK620900-02-0060C,OK620900020060_00,36.1308888,-96.8801944,63600,2020-08-03,2020,11050003,Cimarron R.,4,OK620900-02-0060C_4,493466,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,18.7596,WWAC,439,11,1,6,0,0.929384966,0.0,0.0,0,5,3,5,1,1,1,1,17,0.759606792,Fair,,Blue Thumb,2020-08-03,True
Flat Rock Creek: Hwy 75,OK121300-01-0120D,OK121300010120_00,36.2251388,-95.9446666,30960,2004-08-24,2004,11070107,Arkansas R.,1,OK121300-01-0120D_1,847328,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,58.833,WWAC,1076,21,5,6,2,0.643122677,0.01394052,0.292750929,0,5,5,5,5,1,1,3,25,1.098901099,Excellent,,Blue Thumb,2004-08-24,True
Flat Rock Creek: Hwy 75,OK121300-01-0120D,OK121300010120_00,36.2251388,-95.9446666,37912,2007-07-24,2007,11070107,Arkansas R.,2,OK121300-01-0120D_2,847328,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,58.833,WWAC,598,22,7,6,3,0.722408027,0.011705686,0.215719064,0,5,5,5,5,1,1,3,25,1.098901099,Excellent,,Blue Thumb,2007-07-24,True
Flat Rock Creek: Hwy 75,OK121300-01-0120D,OK121300010120_00,36.22514,-95.94467,49713,2012-07-19,2012,11070107,Arkansas R.,3,OK121300-01-0120D_3,847328,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,58.833,WWAC,1573,24,5,7,2,0.757151939,0.045772409,0.204704387,0,5,5,5,5,1,1,3,25,1.098901099,Excellent,,Blue Thumb,2012-07-19,True
"Flint Creek: Fiddlers Bend, Above Illinois River",OK121700-03-0290B,OK121700030290_00,36.17488889,-94.71891667,41758,2008-08-05,2008,11110103,Illinois R.,2,OK121700-03-0290B_2,397890,Arkansas-Canadian,Ozark Highlands,Ozark Highlands,327.9375,CWAC,512,18,7,4,12,0.017578125,0.822265625,0.98046875,0,5,5,5,5,5,5,5,35,1.03950104,Excellent,,Blue Thumb,2008-08-05,True
"Flint Creek: Fiddlers Bend, Above Illinois River",OK121700-03-0290B,OK121700030290_00,36.17488889,-94.71891667,51654,2013-07-17,2013,11110103,Illinois R.,3,OK121700-03-0290B_3,397890,Arkansas-Canadian,Ozark Highlands,Ozark Highlands,327.9375,CWAC,760,16,6,2,11,0.023684211,0.646052632,0.975,0,5,5,3,5,5,5,5,33,0.98010098,Excellent,,Blue Thumb,2013-07-17,True
Fourche Maline Creek: Black Loop,OK220100-04-0020P,OK220100040020_10,34.9184,-95.2174,37350,2007-06-07,2007,11110105,Arkansas R.,2,OK220100-04-0020P_2,6049228,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,218.2761,WWAC,113,22,6,6,5,0.592920354,0.07079646,0.265486726,0,5,5,5,5,1,1,3,25,0.925925926,Excellent,,Blue Thumb,2007-06-07,True
Fourche Maline Creek: Black Loop,OK220100-04-0020P,OK220100040020_10,34.9184,-95.2174,48474,2011-07-06,2011,11110105,Arkansas R.,3,OK220100-04-0020P_3,6049228,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,218.2761,WWAC,173,21,5,7,3,0.479768786,0.046242775,0.427745665,0,5,3,5,3,1,1,5,23,0.851851852,Good,,Blue Thumb,2011-07-06,True
Fourche Maline Creek: Centerpoint Road,OK220100-04-0020T,OK220100040020_10,34.9334,-95.321,36252,2006-08-24,2006,11110105,Arkansas R.,2,OK220100-04-0020T_2,6049202,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,74.3148,WWAC,81,11,2,6,1,0.765432099,0.0,0.074074074,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2006-08-24,True
Fourche Maline Creek: Robbers Cave State Park,OK220100-04-0020X,OK220100040020_10,35.00280556,-95.336,23869,2001-07-27,2001,11110105,Arkansas R.,1,OK220100-04-0020X_1,6042302,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,18.0225,WWAC,51,6,0,5,1,0.68627451,0.294117647,0.294117647,0,1,1,5,1,1,3,3,15,0.555555556,Poor,,Blue Thumb,2001-07-27,True
Fourche Maline Creek: Robbers Cave State Park,OK220100-04-0020X,OK220100040020_10,35.00280556,-95.336,37349,2007-06-06,2007,11110105,Arkansas R.,2,OK220100-04-0020X_2,6042302,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,18.0225,WWAC,165,12,3,6,3,0.521212121,0.145454545,0.4,0,3,3,5,3,1,1,5,21,0.777777778,Good,,Blue Thumb,2007-06-06,True
Fourmile Creek: Adams Park,OK520530-00-0060M,OK520530000060_00,35.53243,-97.97684,44191,2009-06-19,2009,11100301,Canadian R.,2,OK520530-00-0060M_2,391696,Arkansas-Canadian,Central Great Plains,Central Great Plains,32.3739,WWAC,263,9,0,5,0,0.992395437,0.007604563,0.0,0,5,1,5,1,1,1,1,15,0.670241287,Fair,,Blue Thumb,2009-06-19,True
Fourmile Creek: Adams Park,OK520530-00-0060M,OK520530000060_00,35.53243,-97.97684,53884,2014-06-02,2014,11100301,Canadian R.,3,OK520530-00-0060M_3,391696,Arkansas-Canadian,Central Great Plains,Central Great Plains,32.3739,WWAC,192,4,0,3,0,1.0,0.0,0.0,0,1,1,5,1,1,1,1,11,0.491510277,Poor,,Blue Thumb,2014-06-02,True
Fourmile Creek: Adams Park,OK520530-00-0060M,OK520530000060_00,35.53243,-97.97684,62328,2019-07-29,2019,11100301,Canadian R.,4,OK520530-00-0060M_4,391696,Arkansas-Canadian,Central Great Plains,Central Great Plains,32.3739,WWAC,688,12,0,6,0,1.0,0.0,0.0,0,5,1,5,1,1,1,1,15,0.670241287,Fair,,Blue Thumb,2019-07-29,True
Fred Creek: Evanston,OK120420-01-0060G,OK120420010060_00,36.0515,-95.9469,38170,2007-08-16,2007,11110101,Arkansas R.,2,OK120420-01-0060G_2,367983,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,6.3612,WWAC,95,3,1,2,0,0.284210526,0.0,0.715789474,0,1,1,1,1,1,1,5,11,0.483516484,Poor,,Blue Thumb,2007-08-16,True
Fred Creek: Evanston,OK120420-01-0060G,OK120420010060_00,36.0515,-95.9469,55664,2015-06-30,2015,11110101,Arkansas R.,3,OK120420-01-0060G_3,367983,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,6.3612,WWAC,574,7,1,3,0,0.393728223,0.0,0.606271777,0,3,1,3,1,1,1,5,15,0.659340659,Fair,,Blue Thumb,2015-06-30,True
Guy James Creek: NW Eubanks St.,OK520710-02-0140T,OK520710020140_00,35.5074,-97.51885,53921,2014-08-29,2014,11100303,Canadian R.,3,OK520710-02-0140T_3,533253,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,10.233,WWAC,3,1,0,1,0,1.0,0.0,0.0,0,1,1,1,1,1,1,1,7,0.307692308,Very Poor,,Blue Thumb,2014-08-29,True
Guy James Creek: NW Eubanks St.,OK520710-02-0140T,OK520710020140_00,35.5074,-97.51885,60204,2018-06-14,2018,11100303,Canadian R.,4,OK520710-02-0140T_4,533253,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,10.233,WWAC,40,1,0,1,0,1.0,0.0,0.0,0,1,1,1,1,1,1,1,7,0.307692308,Very Poor,,Blue Thumb,2018-06-14,True
Guy Sandy Creek,OK310800-02-0130D,OK310800020130_00,34.51904,-97.02553,62501,2021-01-19,2019,11130303,Washita R.,4,OK310800-02-0130D_4,19958010,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,89.8308,WWAC,363,15,3,7,1,0.490358127,0.355371901,0.104683196,0,5,5,5,3,1,3,1,23,1.010989011,Excellent,,Blue Thumb,2021-01-19,True
Guy Sandy Creek,OK310800-02-0130D,OK310800020130_00,34.519045,-97.025526,63590,2021-01-19,2020,11130303,Washita R.,4,OK310800-02-0130D_4,19958010,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,89.8308,WWAC,425,14,3,6,0,0.647058824,0.030588235,0.289411765,0,5,5,5,1,1,1,3,21,0.923076923,Excellent,,Blue Thumb,2021-01-19,True
Guy Sandy Creek,OK310800-02-0130D,OK310800020130_00,34.519045,-97.025526,63594,2021-01-19,2020,11130303,Washita R.,4,OK310800-02-0130D_4,19958010,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,89.8308,WWAC,595,14,3,6,0,0.443697479,0.010084034,0.468907563,0,5,5,5,1,1,1,5,23,1.010989011,Excellent,,Blue Thumb,2021-01-19,True
Haikey Creek: 121st Street,OK120410-01-0210G,OK120410010210_00,35.98833333,-95.85166667,25849,2002-08-26,2002,11110101,Arkansas R.,1,OK120410-01-0210G_1,369571,Arkansas-Canadian,Central Irregular Plains,Central Irregular Plains,71.7939,WWAC,139,16,0,7,0,0.928057554,0.0,0.0,0,5,1,5,1,1,1,1,15,0.641025641,Fair,,Blue Thumb,2002-08-26,True
Haikey Creek: 121st Street,OK120410-01-0210G,OK120410010210_00,35.98833333,-95.85166667,37917,2007-07-25,2007,11110101,Arkansas R.,2,OK120410-01-0210G_2,369571,Arkansas-Canadian,Central Irregular Plains,Central Irregular Plains,71.7939,WWAC,324,15,1,6,0,0.969135802,0.0,0.0,0,5,1,5,1,1,1,1,15,0.641025641,Fair,,Blue Thumb,2007-07-25,True
Harlow Creek: Edison,OK120420-01-0170F,OK120420010170_00,36.1610277,-96.0434444,35736,2006-06-08,2006,11110101,Arkansas R.,2,OK120420-01-0170F_2,368609,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,12.969,WWAC,216,8,1,4,0,0.907407407,0.0,0.087962963,0,3,1,3,1,1,1,1,11,0.483516484,Poor,,Blue Thumb,2006-06-08,True
Hog Creek,OK520810-00-0030D,OK520810000030_00,35.3195,-97.2497,52124,2014-10-14,2013,11090203,Canadian R.,3,OK520810-00-0030D_3,482070,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,125.0154,WWAC,322,15,0,7,0,0.98136646,0.0,0.0,0,5,1,5,1,1,1,1,15,0.659340659,Fair,,Blue Thumb,2014-10-14,True
Hog Creek,OK520810-00-0030D,OK520810000030_00,35.3195,-97.2497,52520,2014-10-14,2013,11090203,Canadian R.,3,OK520810-00-0030D_3,482070,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,125.0154,WWAC,297,14,0,7,0,0.818181818,0.0,0.138047138,0,5,1,5,1,1,1,1,15,0.659340659,Fair,,Blue Thumb,2014-10-14,True
Hog Creek,OK520810-00-0030D,OK520810000030_00,35.3195,-97.2497,60207,2020-01-22,2018,11090203,Canadian R.,4,OK520810-00-0030D_4,482070,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,125.0154,WWAC,633,15,0,7,0,0.992101106,0.0,0.0,0,5,1,5,1,1,1,1,15,0.659340659,Fair,,Blue Thumb,2020-01-22,True
