Site_Name,Date,do_percent,pH,Nitrate,Nitrite,Ammonia,Phosphorus,Chloride,Year,Month,soluble_nitrogen
Doe Creek: Yearling,2010-07-15,11.0,7.2,,,0.2,0.113333333,90.0,2010,7,0.53
Doe Creek: Yearling,2010-08-19,49.0,7.7,1.0,,,,,2010,8,1.06
Doe Creek: Yearling,2010-09-16,3.0,8.0,,,0.2,0.053333333,85.0,2010,9,0.53
Doe Creek: Yearling,2010-10-20,10.0,8.0,,,0.1,0.026666667,95.0,2010,10,0.43
Doe Creek: Yearling,2010-11-19,6.0,8.2,,,0.1,0.007,140.0,2010,11,0.43
Doe Creek: Yearling,2011-01-17,116.0,7.8,,,0.1,0.007,140.0,2011,1,0.43
Dog Creek: Blue Starr Dr.,2018-03-10,125.0,8.0,0.3,0.03,0.03,0.047,15.0,2018,3,0.36
Dog Creek: Blue Starr Dr.,2018-04-20,131.0,8.0,0.3,0.03,0.03,0.005,15.0,2018,4,0.36
Dog Creek: Blue Starr Dr.,2018-11-11,84.0,7.5,0.3,0.03,0.03,0.005,220.0,2018,11,0.36
Dog Creek: Blue Starr Dr.,2019-01-26,91.0,7.5,0.3,0.03,0.03,0.005,10.0,2019,1,0.36
Dog Creek: Blue Starr Dr.,2019-03-31,110.0,8.0,0.3,0.03,0.03,0.005,15.0,2019,3,0.36
Dog Creek: Blue Starr Dr.,2019-04-20,122.0,8.0,0.3,0.03,0.03,0.005,15.0,2019,4,0.36
Dog Creek: Blue Starr Dr.,2019-06-24,91.0,7.75,0.3,0.03,0.03,0.087,10.0,2019,6,0.36
Dog Creek: Blue Starr Dr.,2019-07-07,106.0,7.75,0.3,0.03,0.03,0.005,5.0,2019,7,0.36
Dog Creek: Blue Starr Dr.,2020-09-20,78.0,7.75,0.3,0.03,0.03,0.007,15.0,2020,9,0.36
Dog Creek: Blue Starr Dr.,2020-10-10,44.0,7.5,0.3,0.03,0.03,0.007,15.0,2020,10,0.36
Double Spring Creek: W 730 Road,2009-11-01,90.0,7.0,1.8,,0.1,0.013333333,10.0,2009,11,1.93
Double Spring Creek: W 730 Road,2009-12-06,95.0,7.4,1.5,,0.1,0.007,10.0,2009,12,1.63
Double Spring Creek: W 730 Road,2010-01-03,91.0,7.2,1.5,,0.1,0.02,10.0,2010,1,1.63
Double Spring Creek: W 730 Road,2010-02-07,95.0,7.2,1.5,,0.1,0.007,10.0,2010,2,1.63
Double Spring Creek: W 730 Road,2010-03-07,93.0,7.2,1.5,,0.1,0.007,10.0,2010,3,1.63
Double Spring Creek: W 730 Road,2010-04-02,96.0,7.1,1.5,,0.1,0.007,10.0,2010,4,1.63
Double Spring Creek: W 730 Road,2010-05-02,104.0,7.3,1.0,,0.1,0.007,15.0,2010,5,1.13
Double Spring Creek: W 730 Road,2010-08-04,96.0,7.4,,0.5,0.1,0.02,10.0,2010,8,0.9
Double Spring Creek: W 730 Road,2010-10-13,96.0,7.4,0.5,,0.1,0.013333333,10.0,2010,10,0.63
Double Spring Creek: W 730 Road,2010-11-03,87.0,7.4,0.5,,0.1,0.026666667,15.0,2010,11,0.63
Double Spring Creek: W 730 Road,2010-12-08,94.0,7.5,0.5,,0.1,0.006666667,10.0,2010,12,0.63
Double Spring Creek: W 730 Road,2011-02-02,95.0,7.4,1.0,,0.1,0.013333333,10.0,2011,2,1.13
Double Spring Creek: W 730 Road,2011-04-06,95.0,7.4,1.0,,0.1,0.026666667,10.0,2011,4,1.13
Double Spring Creek: W 730 Road,2013-01-28,81.0,7.5,2.0,,0.1,0.013333333,15.0,2013,1,2.13
Double Spring Creek: W 730 Road,2013-02-25,88.0,7.5,,1.0,0.1,0.033333333,10.0,2013,2,1.4
Double Spring Creek: W 730 Road,2013-09-04,94.0,7.4,1.0,,0.1,0.013333333,10.0,2013,9,1.13
Double Spring Creek: W 730 Road,2014-01-06,49.0,7.0,5.0,0.5,0.1,0.007,5.0,2014,1,5.6
Double Springs Creek: Morgan,2005-01-29,104.0,7.0,0.5,,0.03,0.007,10.0,2005,1,0.56
Double Springs Creek: Morgan,2005-02-26,92.0,7.0,0.5,,0.03,0.033,10.0,2005,2,0.56
Double Springs Creek: Morgan,2005-03-26,97.0,7.0,0.3,,0.03,0.013,10.0,2005,3,0.36
Duck Creek: Myers Park,2008-09-20,150.0,8.5,0.5,0.08,0.1,0.047,180.0,2008,9,0.68
Duck Creek: Myers Park,2008-10-18,138.0,8.0,1.0,0.15,0.1,0.08,200.0,2008,10,1.25
Duck Creek: Myers Park,2008-11-15,134.0,8.0,1.0,0.08,0.1,0.073,180.0,2008,11,1.18
Duck Creek: Myers Park,2008-12-21,,,,,,,,2008,12,0.36
Duck Creek: Myers Park,2009-01-17,27.0,8.0,2.0,0.15,0.1,0.04,240.0,2009,1,2.25
Duck Creek: Myers Park,2009-02-22,150.0,8.0,0.5,0.08,0.1,0.06,220.0,2009,2,0.68
Duck Creek: Myers Park,2009-03-21,150.0,8.8,0.5,0.08,0.1,0.027,240.0,2009,3,0.68
Duck Creek: Myers Park,2009-04-18,150.0,9.0,0.5,0.1,0.1,0.02,180.0,2009,4,0.7
Duck Creek: Myers Park,2009-05-17,130.0,7.5,0.5,0.08,0.2,0.246,90.0,2009,5,0.78
Duck Creek: Myers Park,2009-06-20,,9.0,,,0.1,0.16,55.0,2009,6,0.43
Duck Creek: Myers Park,2009-07-18,68.0,8.0,1.0,0.3,0.2,0.086666667,160.0,2009,7,1.5
Duck Creek: Myers Park,2009-08-15,,7.5,,,0.1,0.226666667,50.0,2009,8,0.43
Duck Creek: Myers Park,2009-09-19,,8.0,,0.08,0.1,0.166666667,160.0,2009,9,0.48
Duck Creek: Myers Park,2009-10-17,,8.5,,,0.1,0.12,160.0,2009,10,0.43
Duck Creek: Myers Park,2009-11-21,,8.5,,,0.1,0.12,160.0,2009,11,0.43
Duck Creek: Myers Park,2010-01-02,,,,,,,,2010,1,0.36
Duck Creek: Myers Park,2018-09-15,,8.5,1.5,0.03,0.9,0.005,200.0,2018,9,2.43
Duck Creek: Myers Park,2018-09-15,,8.5,1.5,0.03,0.9,0.005,200.0,2018,9,2.43
Duck Creek: Myers Park,2018-10-28,,8.5,2.0,0.03,0.2,0.033,140.0,2018,10,2.23
Duck Creek: Myers Park,2018-10-28,,8.5,2.0,0.03,0.2,0.033,140.0,2018,10,2.23
Duck Creek: Myers Park,2018-11-28,125.0,8.0,2.0,0.1,0.03,0.033,180.0,2018,11,2.13
Duck Creek: Myers Park,2019-01-21,155.0,8.0,2.0,0.03,0.03,0.005,180.0,2019,1,2.06
Duck Creek: Myers Park,2019-09-12,,8.75,2.0,0.03,0.03,0.067,180.0,2019,9,2.06
Duck Creek: Myers Park,2019-10-31,103.0,8.0,1.0,0.03,0.03,0.207,70.0,2019,10,1.06
Duck Creek: Myers Park,2020-02-26,,7.75,1.0,0.03,0.1,0.005,120.0,2020,2,1.13
Duck Creek: Ridge & Arrowhead,2008-09-06,100.0,7.5,0.5,0.08,0.1,0.12,200.0,2008,9,0.68
Duck Creek: Ridge & Arrowhead,2008-09-08,,6.2,0.5,0.08,0.1,0.33,30.0,2008,9,0.68
Duck Creek: Ridge & Arrowhead,2008-09-08,,,1.0,0.1,2.5,0.233,25.0,2008,9,3.6
Duck Creek: Ridge & Arrowhead,2008-10-04,,,,,,,,2008,10,0.36
Duck Creek: Ridge & Arrowhead,2008-11-01,,7.3,0.5,0.08,0.1,0.967,120.0,2008,11,0.68
Duck Creek: Ridge & Arrowhead,2008-12-06,7.0,7.5,0.5,0.08,0.1,0.1,220.0,2008,12,0.68
Duck Creek: Ridge & Arrowhead,2009-01-03,100.0,8.0,0.5,0.15,0.1,0.073,180.0,2009,1,0.75
Duck Creek: Ridge & Arrowhead,2009-02-07,150.0,7.7,0.5,0.15,0.1,0.007,400.0,2009,2,0.75
Duck Creek: Ridge & Arrowhead,2009-03-08,55.0,7.75,0.5,0.08,1.0,0.26,360.0,2009,3,1.58
Duck Creek: Ridge & Arrowhead,2009-04-04,150.0,8.5,0.5,0.08,0.1,0.073,200.0,2009,4,0.68
Duck Creek: Ridge & Arrowhead,2009-05-02,81.0,7.5,0.5,0.08,0.1,0.8,30.0,2009,5,0.68
Duck Creek: Ridge & Arrowhead,2009-06-06,60.0,7.7,,0.15,0.2,0.6,240.0,2009,6,0.65
Duck Creek: Ridge & Arrowhead,2009-07-04,91.0,7.5,,0.1,0.1,0.206666667,55.0,2009,7,0.5
Duck Creek: Ridge & Arrowhead,2009-08-01,41.0,7.5,,,0.1,0.333333333,75.0,2009,8,0.43
Duck Creek: Ridge & Arrowhead,2009-09-05,70.0,7.7,,0.5,0.1,0.2,80.0,2009,9,0.9
Duck Creek: Ridge & Arrowhead,2009-10-03,61.0,8.0,,0.15,0.1,0.22,120.0,2009,10,0.55
Duck Creek: Ridge & Arrowhead,2009-11-07,95.0,8.0,,0.1,0.1,0.146666667,180.0,2009,11,0.5
Duck Creek: Ridge & Arrowhead,2009-12-05,124.0,7.5,,0.1,0.1,0.033333333,200.0,2009,12,0.5
East Brush Creek: McElroy Rd.,2016-04-23,75.0,7.5,0.3,0.03,0.03,0.047,25.0,2016,4,0.36
East Brush Creek: McElroy Rd.,2016-08-19,37.0,7.5,0.3,0.03,0.03,0.087,35.0,2016,8,0.36
East Cache Creek: Big Green,2009-02-24,95.0,7.25,4.0,0.1,0.1,0.87,50.0,2009,2,4.2
East Cache Creek: Big Green,2009-03-31,46.0,8.0,1.0,0.08,0.1,0.5,30.0,2009,3,1.18
East Cache Creek: Big Green,2009-04-28,65.0,7.7,1.0,0.3,0.6,0.23,40.0,2009,4,1.9
East Cache Creek: Big Green,2009-05-26,85.0,8.0,1.0,0.08,0.1,0.166,25.0,2009,5,1.18
East Cache Creek: Big Green,2009-06-29,61.0,8.0,3.0,0.15,0.1,0.08,35.0,2009,6,3.25
East Cache Creek: Big Green,2009-06-30,50.0,8.0,1.0,,0.2,0.333333333,35.0,2009,6,1.23
East Cache Creek: Big Green,2009-07-28,74.0,7.8,1.0,,0.1,0.466666667,30.0,2009,7,1.13
East Cache Creek: Big Green,2009-08-25,78.0,7.25,2.0,0.15,0.1,0.15,35.0,2009,8,2.25
East Cache Creek: Big Green,2009-09-29,53.0,7.7,1.0,0.08,0.1,0.47,30.0,2009,9,1.18
East Cache Creek: Big Green,2009-10-27,,7.7,1.0,0.08,0.1,0.19,25.0,2009,10,1.18
East Cache Creek: Big Green,2009-11-24,62.0,8.0,0.5,0.1,0.1,0.5,25.0,2009,11,0.7
East Cache Creek: Big Green,2009-12-29,49.0,8.0,1.0,,0.1,0.04,40.0,2009,12,1.13
East Cache Creek: Big Green,2010-01-26,84.0,7.7,2.0,0.1,0.1,0.053333333,35.0,2010,1,2.2
East Cache Creek: Big Green,2010-02-23,66.0,7.8,0.5,,0.1,0.053333333,20.0,2010,2,0.63
East Cache Creek: Big Green,2010-03-30,47.0,7.8,1.0,,0.1,0.12,35.0,2010,3,1.13
East Cache Creek: Big Green,2010-04-27,51.0,8.0,1.0,0.1,0.1,0.3,35.0,2010,4,1.2
East Cache Creek: Big Green,2010-05-25,110.0,8.0,1.0,,0.1,0.3,35.0,2010,5,1.13
East Cache Creek: Big Green,2010-07-27,51.0,7.9,1.0,,0.1,0.233333333,25.0,2010,7,1.13
East Cache Creek: Big Green,2010-08-31,75.0,8.6,1.0,,0.1,0.4,40.0,2010,8,1.13
East Cache Creek: Big Green,2010-09-28,76.0,8.0,2.0,,0.1,0.366666667,30.0,2010,9,2.13
East Cache Creek: Big Green,2010-10-26,5.0,8.0,1.0,,0.1,0.3,20.0,2010,10,1.13
East Cache Creek: Big Green,2010-11-30,39.0,7.8,1.0,0.15,0.1,0.333333333,30.0,2010,11,1.25
East Cache Creek: Big Green,2010-12-28,66.0,7.8,1.5,1.5,0.1,0.046666667,30.0,2010,12,3.1
East Cache Creek: Big Green,2011-01-25,63.0,7.8,4.0,0.5,,0.466666667,40.0,2011,1,4.53
East Cache Creek: Big Green,2011-02-22,61.0,8.0,1.5,0.15,,,,2011,2,1.68
East Cache Creek: Big Green,2011-03-29,71.0,8.0,3.0,0.15,0.1,0.5,45.0,2011,3,3.25
East Cache Creek: Big Green,2011-04-26,61.0,7.8,4.0,0.08,0.1,0.833333333,45.0,2011,4,4.18
East Cache Creek: Big Green,2011-05-31,74.0,8.0,3.0,0.15,0.2,0.833333333,40.0,2011,5,3.35
East Cache Creek: Big Green,2011-06-28,76.0,8.3,1.0,,0.1,1.0,50.0,2011,6,1.13
East Cache Creek: Big Green,2011-07-26,51.0,8.0,1.5,0.3,0.3,1.166666667,65.0,2011,7,2.1
East Cache Creek: Big Green,2011-08-30,50.0,8.3,0.5,,0.2,1.166666667,55.0,2011,8,0.73
East Cache Creek: Big Green,2011-09-27,90.0,8.3,2.0,0.15,0.1,1.133333333,50.0,2011,9,2.25
East Cache Creek: Big Green,2011-10-25,65.0,8.0,10.0,,0.2,1.2,50.0,2011,10,10.23
East Cache Creek: Big Green,2011-11-29,84.0,7.8,2.0,,0.1,0.766666667,45.0,2011,11,2.13
East Cache Creek: Big Green,2011-12-27,79.0,8.0,5.0,,0.1,0.266666667,35.0,2011,12,5.13
East Cache Creek: Big Green,2012-01-31,70.0,8.0,3.0,,0.1,0.533333333,40.0,2012,1,3.13
East Cache Creek: Big Green,2012-02-28,100.0,8.0,2.0,,0.1,0.6,40.0,2012,2,2.13
East Cache Creek: Big Green,2012-03-27,67.0,7.5,3.0,,0.2,0.333333333,35.0,2012,3,3.23
East Cache Creek: Big Green,2012-04-24,75.0,8.0,2.0,,0.2,0.4,35.0,2012,4,2.23
East Cache Creek: Big Green,2012-05-29,48.0,7.8,1.0,,0.2,0.5,20.0,2012,5,1.23
East Cache Creek: Big Green,2012-06-26,53.0,8.5,3.0,,0.2,0.933333333,45.0,2012,6,3.23
East Cache Creek: Big Green,2012-07-31,50.0,8.0,,,0.1,1.1,60.0,2012,7,0.43
East Cache Creek: Big Green,2012-08-28,49.0,7.5,2.0,0.15,0.1,1.0,50.0,2012,8,2.25
East Cache Creek: Big Green,2012-09-25,70.0,8.7,5.0,,0.1,0.833333333,45.0,2012,9,5.13
East Cache Creek: Big Green,2012-10-30,80.0,8.2,1.0,,0.8,0.213333333,60.0,2012,10,1.83
East Cache Creek: Big Green,2012-11-27,79.0,8.2,2.0,,0.1,0.933333333,65.0,2012,11,2.13
East Cache Creek: Big Green,2012-12-27,79.0,8.0,5.0,,0.1,0.066666667,65.0,2012,12,5.13
East Cache Creek: Big Green,2013-01-29,69.0,8.0,3.0,,,0.8,65.0,2013,1,3.06
East Cache Creek: Big Green,2013-02-26,38.0,8.0,,,0.2,0.333333333,50.0,2013,2,0.53
East Cache Creek: Big Green,2013-03-26,42.0,8.5,1.0,,0.1,0.2,65.0,2013,3,1.13
East Cache Creek: Big Green,2013-04-30,100.0,8.0,1.0,,0.1,0.333333333,35.0,2013,4,1.13
East Cache Creek: Big Green,2013-05-28,124.0,8.2,1.0,,0.1,0.533333333,45.0,2013,5,1.13
East Cache Creek: Big Green,2013-06-25,86.0,8.0,0.3,0.03,0.03,0.093,50.0,2013,6,0.36
East Cache Creek: Big Green,2013-07-30,90.0,8.0,0.3,0.03,0.1,0.16,25.0,2013,7,0.43
East Cache Creek: Big Green,2013-08-27,92.0,8.0,1.0,0.03,0.1,0.1267,35.0,2013,8,1.13
East Cache Creek: Big Green,2013-09-24,80.0,8.3,1.0,0.03,0.03,0.66,45.0,2013,9,1.06
East Cache Creek: Big Green,2013-10-29,95.0,8.5,2.0,0.03,0.1,1.66,45.0,2013,10,2.13
East Cache Creek: Big Green,2013-11-26,81.0,8.0,2.0,0.03,0.03,1.166,50.0,2013,11,2.06
East Cache Creek: Big Green,2013-12-31,91.0,8.5,0.3,0.03,0.03,0.33,35.0,2013,12,0.36
East Cache Creek: Big Green,2014-01-28,91.0,8.3,2.0,0.03,0.03,0.63,50.0,2014,1,2.06
East Cache Creek: Big Green,2014-02-25,125.0,8.4,1.0,1.2,0.03,1.0,45.0,2014,2,2.23
East Cache Creek: Big Green,2014-03-25,95.0,9.0,5.0,0.03,0.03,0.83,50.0,2014,3,5.06
East Cache Creek: Big Green,2014-04-29,75.0,8.0,2.0,0.03,0.03,0.83,55.0,2014,4,2.06
East Cache Creek: Big Green,2014-05-27,60.0,7.6,1.0,0.03,0.2,0.7,10.0,2014,5,1.23
East Cache Creek: Big Green,2014-06-24,76.0,7.7,2.0,0.03,0.03,0.77,40.0,2014,6,2.06
East Cache Creek: Big Green,2014-07-29,76.0,8.0,2.0,0.03,0.2,,55.0,2014,7,2.23
East Cache Creek: Big Green,2014-08-26,80.0,8.0,1.0,0.03,0.2,1.06,60.0,2014,8,1.23
East Cache Creek: Big Green,2014-09-30,81.0,8.3,10.0,0.03,0.03,1.0,70.0,2014,9,10.06
East Cache Creek: Big Green,2014-10-28,76.0,8.0,5.0,0.03,0.03,0.9,60.0,2014,10,5.06
East Cache Creek: Big Green,2014-11-25,81.0,8.0,0.3,0.03,0.03,0.33,45.0,2014,11,0.36
East Cache Creek: Big Green,2014-12-30,86.0,8.0,2.0,0.03,0.03,0.43,50.0,2014,12,2.06
East Cache Creek: Big Green,2015-01-27,125.0,8.5,2.0,0.03,0.03,0.83,45.0,2015,1,2.06
East Cache Creek: Big Green,2015-03-31,96.0,8.0,10.0,0.03,0.03,1.17,65.0,2015,3,10.06
East Cache Creek: Big Green,2015-04-28,70.0,7.5,0.3,0.03,0.03,0.16,35.0,2015,4,0.36
East Cache Creek: Big Green,2015-06-30,75.0,8.0,1.0,0.03,0.03,0.16,45.0,2015,6,1.06
East Cache Creek: Big Green,2015-07-28,93.0,8.0,0.3,0.03,0.03,0.23,40.0,2015,7,0.36
East Cache Creek: Big Green,2015-08-25,75.0,8.0,2.0,0.03,0.03,0.33,45.0,2015,8,2.06
East Cache Creek: Big Green,2015-09-29,80.0,7.5,2.0,0.15,0.03,0.5,25.0,2015,9,2.18
East Cache Creek: Big Green,2015-10-27,54.0,8.0,0.15,2.0,0.03,0.23,40.0,2015,10,2.18
East Cache Creek: Big Green,2015-11-25,75.0,7.5,0.3,0.03,0.03,0.3,40.0,2015,11,0.36
East Cache Creek: Big Green,2016-01-26,80.0,8.0,0.3,0.03,0.03,0.13,30.0,2016,1,0.36
East Cache Creek: Big Green,2016-02-22,85.0,8.0,0.3,0.03,0.03,0.33,55.0,2016,2,0.36
East Cache Creek: Big Green,2016-03-29,77.0,8.0,0.5,0.03,0.03,0.6,40.0,2016,3,0.56
East Cache Creek: Big Green,2016-06-28,100.0,8.0,0.3,0.03,0.03,0.17,70.0,2016,6,0.36
East Cache Creek: Big Green,2016-07-26,77.0,8.0,2.0,0.03,0.03,0.3,60.0,2016,7,2.06
East Cache Creek: Big Green,2016-08-30,53.0,8.0,2.0,0.03,0.03,0.33,55.0,2016,8,2.06
East Cache Creek: Big Green,2016-10-27,75.0,7.5,1.0,0.03,0.03,0.4,50.0,2016,10,1.06
East Cache Creek: Big Green,2016-12-27,50.0,7.5,2.0,0.03,0.03,0.4,40.0,2016,12,2.06
East Cache Creek: Big Green,2017-01-30,76.0,7.5,1.0,0.03,0.03,0.23,40.0,2017,1,1.06
East Cache Creek: Big Green,2017-02-28,71.0,8.0,1.0,0.03,0.03,0.1666,35.0,2017,2,1.06
East Cache Creek: Big Green,2017-03-28,71.0,8.0,2.0,0.03,0.03,0.433,70.0,2017,3,2.06
East Cache Creek: Big Green,2017-05-30,96.0,8.0,2.0,0.03,0.03,0.26,55.0,2017,5,2.06
East Cache Creek: Big Green,2017-06-27,61.0,8.0,1.0,0.03,0.03,0.26,75.0,2017,6,1.06
East Cache Creek: Big Green,2017-07-27,51.0,8.0,1.0,0.03,0.03,0.33,70.0,2017,7,1.06
East Cache Creek: Big Green,2017-11-28,75.0,8.0,0.3,2.0,0.03,0.13,45.0,2017,11,2.33
East Cache Creek: Big Green,2018-01-30,100.0,7.5,0.3,0.03,0.03,0.3,50.0,2018,1,0.36
East Cache Creek: Big Green,2018-02-27,111.0,8.0,0.3,1.0,0.03,0.17,45.0,2018,2,1.33
East Cache Creek: Big Green,2018-04-24,91.0,7.5,0.3,0.03,0.03,0.23,45.0,2018,4,0.36
East Cache Creek: Big Green,2018-05-30,61.0,8.0,0.3,0.03,0.03,0.3,50.0,2018,5,0.36
East Cache Creek: Big Green,2018-12-18,115.0,7.8,,,0.03,0.08,35.0,2018,12,0.36
East Cache Creek: Big Green,2019-06-25,100.0,8.0,1.0,0.03,0.03,0.23,40.0,2019,6,1.06
East Cache Creek: Big Green,2019-11-26,99.0,8.0,5.0,0.03,0.03,0.06,55.0,2019,11,5.06
East Cache Creek: Rogers Lane,2012-04-24,89.0,8.0,2.0,,0.2,0.5,35.0,2012,4,2.23
East Cache Creek: Rogers Lane,2012-05-29,64.0,8.0,4.0,,0.2,1.166666667,35.0,2012,5,4.23
East Cache Creek: Rogers Lane,2012-06-26,53.0,8.0,6.0,,0.2,1.2,50.0,2012,6,6.23
East Cache Creek: Rogers Lane,2012-07-31,,7.8,10.0,0.3,0.2,3.0,60.0,2012,7,10.5
East Cache Creek: Rogers Lane,2012-08-28,66.0,7.8,5.0,0.08,0.1,1.066666667,45.0,2012,8,5.18
East Cache Creek: Rogers Lane,2012-09-25,84.0,7.7,10.0,,0.1,2.0,50.0,2012,9,10.13
East Cache Creek: Rogers Lane,2012-10-30,90.0,8.0,7.0,0.15,0.8,0.233333333,60.0,2012,10,7.95
East Cache Creek: Rogers Lane,2012-11-27,50.0,8.2,2.0,,0.1,1.2,65.0,2012,11,2.13
East Cache Creek: Rogers Lane,2012-12-27,63.0,8.2,5.0,,0.1,0.066666667,60.0,2012,12,5.13
East Cache Creek: Rogers Lane,2013-01-29,,8.0,8.0,,0.2,0.966666667,60.0,2013,1,8.23
East Cache Creek: Rogers Lane,2013-02-26,78.0,8.0,1.0,,0.1,0.666666667,50.0,2013,2,1.13
East Cache Creek: Rogers Lane,2013-03-26,99.0,8.5,2.0,,0.1,0.1,60.0,2013,3,2.13
East Cache Creek: Rogers Lane,2013-04-30,125.0,8.0,1.0,,0.1,0.4,35.0,2013,4,1.13
East Cache Creek: Rogers Lane,2013-05-28,110.0,8.2,,0.2,0.1,0.533333333,45.0,2013,5,0.6
East Cache Creek: Rogers Lane,2013-06-25,86.0,8.5,2.0,0.03,0.03,0.187,45.0,2013,6,2.06
East Cache Creek: Rogers Lane,2013-07-30,90.0,8.0,0.3,0.03,0.1,0.16,20.0,2013,7,0.43
East Cache Creek: Rogers Lane,2013-08-29,76.0,8.0,1.0,0.03,0.03,0.63,45.0,2013,8,1.06
East Cache Creek: Rogers Lane,2013-09-24,94.0,8.0,2.0,0.03,0.03,0.96,45.0,2013,9,2.06
East Cache Creek: Rogers Lane,2013-10-29,96.0,8.0,10.0,0.03,0.1,3.33,45.0,2013,10,10.13
East Cache Creek: Rogers Lane,2013-11-26,105.0,8.0,5.0,0.03,0.03,1.667,50.0,2013,11,5.06
East Cache Creek: Rogers Lane,2013-12-31,98.0,8.5,0.3,0.03,0.03,0.5,40.0,2013,12,0.36
East Cache Creek: Rogers Lane,2014-01-28,109.0,8.3,2.0,2.0,0.03,0.56,45.0,2014,1,4.03
East Cache Creek: Rogers Lane,2014-02-25,113.0,8.0,10.0,0.03,0.03,1.16,40.0,2014,2,10.06
East Cache Creek: Rogers Lane,2014-03-25,105.0,9.0,5.0,0.03,0.03,1.0,50.0,2014,3,5.06
East Cache Creek: Rogers Lane,2014-04-29,75.0,7.7,10.0,0.03,0.03,1.16,55.0,2014,4,10.06
East Cache Creek: Rogers Lane,2014-05-27,60.0,7.9,2.0,0.03,0.2,0.5,25.0,2014,5,2.23
East Cache Creek: Rogers Lane,2014-06-24,75.0,7.7,2.0,0.03,0.03,0.77,40.0,2014,6,2.06
East Cache Creek: Rogers Lane,2014-07-29,64.0,7.8,10.0,0.03,0.03,,50.0,2014,7,10.06
East Cache Creek: Rogers Lane,2014-08-26,105.0,8.0,10.0,0.03,0.03,1.26,50.0,2014,8,10.06
East Cache Creek: Rogers Lane,2014-09-30,94.0,8.0,15.0,0.03,0.03,1.3,65.0,2014,9,15.06
East Cache Creek: Rogers Lane,2014-10-28,89.0,8.0,10.0,0.03,0.03,0.93,65.0,2014,10,10.06
East Cache Creek: Rogers Lane,2014-11-25,86.0,7.8,2.0,0.03,0.03,0.4,50.0,2014,11,2.06
East Cache Creek: Rogers Lane,2014-12-30,90.0,8.0,2.0,0.03,0.03,0.6,50.0,2014,12,2.06
East Cache Creek: Rogers Lane,2015-01-27,111.0,8.5,2.0,0.03,0.03,0.97,45.0,2015,1,2.06
East Cache Creek: Rogers Lane,2015-03-31,75.0,8.5,5.0,0.03,0.03,1.17,60.0,2015,3,5.06
East Cache Creek: Rogers Lane,2015-04-28,82.0,8.0,0.3,0.03,0.03,0.16,25.0,2015,4,0.36
East Cache Creek: Rogers Lane,2015-06-30,90.0,8.0,1.0,0.03,0.03,0.16,35.0,2015,6,1.06
East Cache Creek: Rogers Lane,2015-07-28,95.0,8.0,0.3,0.03,0.03,0.23,40.0,2015,7,0.36
East Cache Creek: Rogers Lane,2015-08-25,100.0,8.0,2.0,0.03,0.03,0.33,40.0,2015,8,2.06
East Cache Creek: Rogers Lane,2015-09-29,71.0,6.0,2.0,0.3,0.03,0.5,25.0,2015,9,2.33
East Cache Creek: Rogers Lane,2015-10-27,99.0,8.0,0.15,2.0,0.03,0.36,40.0,2015,10,2.18
East Cache Creek: Rogers Lane,2015-11-25,88.0,8.0,0.3,0.03,0.03,0.3,30.0,2015,11,0.36
East Cache Creek: Rogers Lane,2016-01-26,86.0,8.0,0.3,0.03,0.03,0.23,30.0,2016,1,0.36
East Cache Creek: Rogers Lane,2016-02-22,75.0,8.0,0.3,0.03,0.03,0.4,50.0,2016,2,0.36
East Cache Creek: Rogers Lane,2016-03-29,100.0,8.0,0.5,0.03,0.03,0.6,40.0,2016,3,0.56
East Cache Creek: Rogers Lane,2016-06-28,90.0,8.0,0.3,0.03,0.03,0.17,60.0,2016,6,0.36
East Cache Creek: Rogers Lane,2016-10-27,98.0,8.0,1.0,0.03,0.03,0.4,45.0,2016,10,1.06
East Cache Creek: Rogers Lane,2016-12-27,101.0,7.5,2.0,0.03,0.03,0.4,35.0,2016,12,2.06
East Cache Creek: Rogers Lane,2017-01-30,134.0,7.5,1.0,0.03,0.03,0.3,35.0,2017,1,1.06
East Cache Creek: Rogers Lane,2017-02-28,96.0,8.0,1.0,0.03,0.03,0.23,30.0,2017,2,1.06
East Cache Creek: Rogers Lane,2017-03-28,110.0,8.0,2.0,0.03,0.03,0.4,60.0,2017,3,2.06
East Cache Creek: Rogers Lane,2017-05-30,110.0,8.0,2.0,0.03,0.03,0.26,50.0,2017,5,2.06
East Cache Creek: Rogers Lane,2017-06-27,54.0,8.5,1.0,0.03,0.03,0.3,65.0,2017,6,1.06
East Cache Creek: Rogers Lane,2017-07-27,110.0,8.0,2.0,0.03,0.03,0.46,70.0,2017,7,2.06
East Cache Creek: Rogers Lane,2017-11-28,118.0,8.0,0.3,2.0,0.03,0.23,45.0,2017,11,2.33
East Cache Creek: Rogers Lane,2018-01-30,116.0,7.5,0.3,0.03,0.03,0.13,45.0,2018,1,0.36
East Cache Creek: Rogers Lane,2018-02-27,101.0,8.0,0.3,1.0,0.03,0.13,40.0,2018,2,1.33
East Cache Creek: Rogers Lane,2018-04-24,126.0,8.0,0.3,0.03,0.03,0.23,50.0,2018,4,0.36
East Cache Creek: Rogers Lane,2018-05-30,105.0,8.0,0.3,0.03,0.03,0.66,50.0,2018,5,0.36
East Cache Creek: Rogers Lane,2018-12-18,101.0,8.0,,,0.03,0.08,35.0,2018,12,0.36
